Age,Workclass,Fnlwgt,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Native Country,Income
48,1,28161,2,14,1,3,0,1,0,-4330,0,35,2,0
36,0,340152,2,17,1,1,0,0,1,-1464,0,35,1,0
59,1,28931,3,17,1,1,0,1,1,-2856,0,42,2,1
32,1,132530,1,15,2,1,0,0,1,5575,0,37,2,0
42,1,140383,3,4,1,1,3,1,1,5846,0,45,2,0
49,1,122399,2,16,1,4,1,1,0,1006,0,28,2,0
55,1,133140,0,19,1,1,3,0,0,1326,0,42,2,1
40,1,180845,2,18,1,2,3,0,1,2390,0,51,2,0
38,1,138921,1,6,1,3,1,1,1,-811,0,49,2,0
53,1,212318,5,8,1,2,0,0,1,-2663,0,32,1,0
